EstacaoCodigo,Data,Maxima,Total,DiaMaxima,NumDiasDeChuva,TotalAnual,Chuva01,Chuva02,Chuva03,Chuva04,Chuva05,Chuva06,Chuva07,Chuva08,Chuva09,Chuva10,Chuva11,Chuva12,Chuva13,Chuva14,Chuva15,Chuva16,Chuva17,Chuva18,Chuva19,Chuva20,Chuva21,Chuva22,Chuva23,Chuva24,Chuva25,Chuva26,Chuva27,Chuva28,Chuva29,Chuva30,Chuva31
734006,01/01/2011,89.4,223.4,20,18,,0,0,0.4,4.8,0,50.2,0.8,0,0,0,6,3.4,0,0,1.1,0.3,0,0,0,89.4,5,6.2,17.6,14.2,15.4,1.2,2,5,0,0.4,0
734006,01/12/2010,19.6,38.5,17,10,,0.1,0,0,0,0,0.2,0,0,0.7,0.8,0,0,0,0,0,0,19.6,9.8,0.1,0,4,0.4,0,0,0,0,0,0,0,0,2.8
734006,01/11/2010,3.8,10.1,10,7,,2.7,0,0,0,0,0,0,0.3,0,3.8,0.8,0,0.7,0.2,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,
734006,01/10/2010,12.8,16,24,4,,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,12.8,0,0,2.6,0,0,0,0
734006,01/09/2010,21.1,92.4,20,19,,2,6,0,3.4,3.6,0,2.8,0,15,9.4,13,0,0.1,0,5.8,0,0.1,0,0,21.1,2.2,0.2,0,1.4,1.2,2.2,0.3,2.6,0,0,
734006,01/08/2010,30.3,189,22,23,,8.4,0.2,13,1.4,0,6.3,3.4,1.2,8.4,25,15.6,28.8,3.8,0,0,0,0,0,0,0,3.2,30.3,9.6,1.8,4,0.1,9,0.1,10.2,1.4,3.8
734006,01/07/2010,39.4,222.4,22,20,,0,1.1,0,0,2.2,1.8,0,12.1,3.6,27.2,0,0.2,5.8,0,0,18.9,26.2,19.6,0,0,0,39.4,18,0.2,19.8,2.3,2,1.8,9.4,0,10.8
734006,01/06/2010,41.6,256.3,18,18,,8.5,0,1.6,39.4,5.6,0,0,1.4,0,5,0,0.6,0,29.8,22.6,7.2,41.2,41.6,0,0,2.6,2,24,0,0,8.4,0,1.4,13.4,0,
734006,01/05/2010,33,111.7,31,15,,0,0,18.8,11,22.4,0.8,0,0,4.4,0,0,0,3.2,5.2,0,0,0,0.2,0,0,0,0,0.1,4.4,3.6,2.1,2.3,0,0,0.2,33
734006,01/04/2010,43,165.9,19,18,,1,0,0,4.8,0.1,6.1,20.8,0,15.4,25.6,0,0,0,5,4,0,2.4,27.9,43,0.8,0,0,3.1,0,1.8,0,0.8,2.7,0.6,0,
734006,01/03/2010,12.9,30.9,24,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,1.2,0,0,0.2,0,0,12.9,0.9,1,0.1,0,11.8,2,0
734006,01/02/2010,18.2,76.9,23,12,,0,3.2,0,0,0,0,0,0,0,4.8,0.4,0,4.4,4.9,0,11.6,0.6,0,5.6,5.8,1.2,16.2,18.2,0,0,0,0,0,,,
734006,01/01/2010,23.9,110.9,24,16,,2.4,1,17.6,4.6,0,0,0,0,0,2.2,1.6,6.7,0,0.1,0,2.8,10.9,12.2,9.8,2.8,7.6,0,0,23.9,0,0,0,0,0,4.7,0
734006,01/12/2009,10.6,25.5,22,10,,0,0,1.8,1,0,0,0,0,0,0,0,0,0,0,0,3.8,0.5,4.4,0,0,0,10.6,2.2,0.4,0,0,0.5,0,0,0.3,0
734006,01/11/2009,38.4,45.8,14,10,,0,0,0,0.3,0.2,0,0.3,1,0,0,0,0.1,0,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,4.6,0.4,
